PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=1 ttl=64 time=7.14 ms
64 bytes from 10.0.2.22: icmp_seq=2 ttl=64 time=6.69 ms
64 bytes from 10.0.2.22: icmp_seq=3 ttl=64 time=6.44 ms
64 bytes from 10.0.2.22: icmp_seq=4 ttl=64 time=6.60 ms
64 bytes from 10.0.2.22: icmp_seq=5 ttl=64 time=8.17 ms
64 bytes from 10.0.2.22: icmp_seq=6 ttl=64 time=12.2 ms
64 bytes from 10.0.2.22: icmp_seq=7 ttl=64 time=18.6 ms
64 bytes from 10.0.2.22: icmp_seq=8 ttl=64 time=32.7 ms
64 bytes from 10.0.2.22: icmp_seq=9 ttl=64 time=10.9 ms
64 bytes from 10.0.2.22: icmp_seq=10 ttl=64 time=6.27 ms
64 bytes from 10.0.2.22: icmp_seq=11 ttl=64 time=6.71 ms
64 bytes from 10.0.2.22: icmp_seq=12 ttl=64 time=6.60 ms
64 bytes from 10.0.2.22: icmp_seq=13 ttl=64 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=14 ttl=64 time=11.2 ms
64 bytes from 10.0.2.22: icmp_seq=15 ttl=64 time=10.3 ms
64 bytes from 10.0.2.22: icmp_seq=16 ttl=64 time=24.0 ms
64 bytes from 10.0.2.22: icmp_seq=17 ttl=64 time=10.9 ms
64 bytes from 10.0.2.22: icmp_seq=18 ttl=64 time=37.9 ms
64 bytes from 10.0.2.22: icmp_seq=19 ttl=64 time=36.1 ms
64 bytes from 10.0.2.22: icmp_seq=20 ttl=64 time=6.70 ms
64 bytes from 10.0.2.22: icmp_seq=21 ttl=64 time=22.3 ms
64 bytes from 10.0.2.22: icmp_seq=22 ttl=64 time=8.37 ms
64 bytes from 10.0.2.22: icmp_seq=23 ttl=64 time=13.0 ms
64 bytes from 10.0.2.22: icmp_seq=24 ttl=64 time=6.25 ms
64 bytes from 10.0.2.22: icmp_seq=25 ttl=64 time=6.98 ms
64 bytes from 10.0.2.22: icmp_seq=26 ttl=64 time=21.5 ms
64 bytes from 10.0.2.22: icmp_seq=27 ttl=64 time=134 ms
64 bytes from 10.0.2.22: icmp_seq=28 ttl=64 time=28.5 ms
64 bytes from 10.0.2.22: icmp_seq=29 ttl=64 time=6.15 ms
64 bytes from 10.0.2.22: icmp_seq=30 ttl=64 time=20.1 ms
64 bytes from 10.0.2.22: icmp_seq=31 ttl=64 time=13.1 ms
64 bytes from 10.0.2.22: icmp_seq=32 ttl=64 time=11.4 ms
64 bytes from 10.0.2.22: icmp_seq=33 ttl=64 time=6.71 ms
64 bytes from 10.0.2.22: icmp_seq=34 ttl=64 time=8.46 ms
64 bytes from 10.0.2.22: icmp_seq=35 ttl=64 time=12.7 ms
64 bytes from 10.0.2.22: icmp_seq=36 ttl=64 time=24.5 ms
64 bytes from 10.0.2.22: icmp_seq=37 ttl=64 time=110 ms
64 bytes from 10.0.2.22: icmp_seq=38 ttl=64 time=85.2 ms
64 bytes from 10.0.2.22: icmp_seq=39 ttl=64 time=17.7 ms
64 bytes from 10.0.2.22: icmp_seq=40 ttl=64 time=7.07 ms
64 bytes from 10.0.2.22: icmp_seq=41 ttl=64 time=6.33 ms
64 bytes from 10.0.2.22: icmp_seq=42 ttl=64 time=6.29 ms
64 bytes from 10.0.2.22: icmp_seq=43 ttl=64 time=13.9 ms
64 bytes from 10.0.2.22: icmp_seq=44 ttl=64 time=12.6 ms
64 bytes from 10.0.2.22: icmp_seq=45 ttl=64 time=6.23 ms
64 bytes from 10.0.2.22: icmp_seq=46 ttl=64 time=6.11 ms
64 bytes from 10.0.2.22: icmp_seq=47 ttl=64 time=10.5 ms
64 bytes from 10.0.2.22: icmp_seq=48 ttl=64 time=6.12 ms
64 bytes from 10.0.2.22: icmp_seq=49 ttl=64 time=21.3 ms
64 bytes from 10.0.2.22: icmp_seq=50 ttl=64 time=47.4 ms
64 bytes from 10.0.2.22: icmp_seq=51 ttl=64 time=9.47 ms
64 bytes from 10.0.2.22: icmp_seq=52 ttl=64 time=6.42 ms
64 bytes from 10.0.2.22: icmp_seq=53 ttl=64 time=7.09 ms
64 bytes from 10.0.2.22: icmp_seq=54 ttl=64 time=22.8 ms
64 bytes from 10.0.2.22: icmp_seq=55 ttl=64 time=48.8 ms
64 bytes from 10.0.2.22: icmp_seq=56 ttl=64 time=9.26 ms
64 bytes from 10.0.2.22: icmp_seq=57 ttl=64 time=6.24 ms
64 bytes from 10.0.2.22: icmp_seq=58 ttl=64 time=8.54 ms
64 bytes from 10.0.2.22: icmp_seq=59 ttl=64 time=13.0 ms
64 bytes from 10.0.2.22: icmp_seq=60 ttl=64 time=38.1 ms
64 bytes from 10.0.2.22: icmp_seq=61 ttl=64 time=9.12 ms
64 bytes from 10.0.2.22: icmp_seq=62 ttl=64 time=6.00 ms
64 bytes from 10.0.2.22: icmp_seq=63 ttl=64 time=10.0 ms
64 bytes from 10.0.2.22: icmp_seq=64 ttl=64 time=16.3 ms
64 bytes from 10.0.2.22: icmp_seq=65 ttl=64 time=40.4 ms
64 bytes from 10.0.2.22: icmp_seq=66 ttl=64 time=7.38 ms
64 bytes from 10.0.2.22: icmp_seq=67 ttl=64 time=6.16 ms
64 bytes from 10.0.2.22: icmp_seq=68 ttl=64 time=7.11 ms
64 bytes from 10.0.2.22: icmp_seq=69 ttl=64 time=17.9 ms
64 bytes from 10.0.2.22: icmp_seq=70 ttl=64 time=38.8 ms
64 bytes from 10.0.2.22: icmp_seq=71 ttl=64 time=23.4 ms
64 bytes from 10.0.2.22: icmp_seq=72 ttl=64 time=6.34 ms
64 bytes from 10.0.2.22: icmp_seq=73 ttl=64 time=6.15 ms
64 bytes from 10.0.2.22: icmp_seq=74 ttl=64 time=20.6 ms
64 bytes from 10.0.2.22: icmp_seq=75 ttl=64 time=50.5 ms
64 bytes from 10.0.2.22: icmp_seq=76 ttl=64 time=19.9 ms
64 bytes from 10.0.2.22: icmp_seq=77 ttl=64 time=6.23 ms
64 bytes from 10.0.2.22: icmp_seq=78 ttl=64 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=79 ttl=64 time=40.4 ms
64 bytes from 10.0.2.22: icmp_seq=80 ttl=64 time=16.2 ms
64 bytes from 10.0.2.22: icmp_seq=81 ttl=64 time=6.19 ms
64 bytes from 10.0.2.22: icmp_seq=82 ttl=64 time=6.95 ms
64 bytes from 10.0.2.22: icmp_seq=83 ttl=64 time=15.9 ms
64 bytes from 10.0.2.22: icmp_seq=84 ttl=64 time=37.7 ms
64 bytes from 10.0.2.22: icmp_seq=85 ttl=64 time=13.5 ms
64 bytes from 10.0.2.22: icmp_seq=86 ttl=64 time=6.26 ms
64 bytes from 10.0.2.22: icmp_seq=87 ttl=64 time=9.31 ms
64 bytes from 10.0.2.22: icmp_seq=88 ttl=64 time=9.80 ms
64 bytes from 10.0.2.22: icmp_seq=89 ttl=64 time=13.9 ms
64 bytes from 10.0.2.22: icmp_seq=90 ttl=64 time=30.2 ms
64 bytes from 10.0.2.22: icmp_seq=91 ttl=64 time=6.77 ms
64 bytes from 10.0.2.22: icmp_seq=92 ttl=64 time=7.20 ms
64 bytes from 10.0.2.22: icmp_seq=93 ttl=64 time=17.5 ms
64 bytes from 10.0.2.22: icmp_seq=94 ttl=64 time=7.46 ms
64 bytes from 10.0.2.22: icmp_seq=95 ttl=64 time=9.27 ms
64 bytes from 10.0.2.22: icmp_seq=96 ttl=64 time=6.65 ms
64 bytes from 10.0.2.22: icmp_seq=97 ttl=64 time=6.13 ms
64 bytes from 10.0.2.22: icmp_seq=98 ttl=64 time=11.0 ms
64 bytes from 10.0.2.22: icmp_seq=99 ttl=64 time=6.68 ms
64 bytes from 10.0.2.22: icmp_seq=100 ttl=64 time=17.9 ms
64 bytes from 10.0.2.22: icmp_seq=101 ttl=64 time=6.35 ms
64 bytes from 10.0.2.22: icmp_seq=102 ttl=64 time=6.57 ms
64 bytes from 10.0.2.22: icmp_seq=103 ttl=64 time=7.54 ms
64 bytes from 10.0.2.22: icmp_seq=104 ttl=64 time=7.09 ms
64 bytes from 10.0.2.22: icmp_seq=105 ttl=64 time=22.6 ms
64 bytes from 10.0.2.22: icmp_seq=106 ttl=64 time=6.39 ms
64 bytes from 10.0.2.22: icmp_seq=107 ttl=64 time=61.0 ms
64 bytes from 10.0.2.22: icmp_seq=108 ttl=64 time=6.33 ms
64 bytes from 10.0.2.22: icmp_seq=109 ttl=64 time=17.4 ms
64 bytes from 10.0.2.22: icmp_seq=110 ttl=64 time=44.6 ms
64 bytes from 10.0.2.22: icmp_seq=111 ttl=64 time=31.8 ms
64 bytes from 10.0.2.22: icmp_seq=112 ttl=64 time=111 ms
64 bytes from 10.0.2.22: icmp_seq=113 ttl=64 time=9.31 ms
